         41373135 function calls (41372477 primitive calls) in 139.881 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       28    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1102(_legacy_get_spec)
      126    0.000    0.000    0.001    0.000 file.py:448(drop_from_cache)
       56    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:147(__enter__)
       84    0.000    0.000    0.000    0.000 series.py:340(name)
      168    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
       14    0.000    0.000    0.187    0.013 file.py:224(open_file)
       70    0.000    0.000    0.000    0.000 pytables.py:623(is_open)
      280    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      252    0.000    0.000    0.000    0.000 atom.py:140(<genexpr>)
       42    0.000    0.000    0.001    0.000 threading.py:1104(is_alive)
        2    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
      168    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:847(__exit__)
       14    0.000    0.000    0.260    0.019 group.py:923(_g_remove)
       28    0.000    0.000    0.000    0.000 internals.py:311(ftype)
       42    0.000    0.000    0.002    0.000 file.py:551(<listcomp>)
       14    0.000    0.000    0.001    0.000 missing.py:255(array_equivalent)
       84    0.000    0.000    0.001    0.000 series.py:367(values)
       56    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
       84    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       84    0.000    0.000    0.000    0.000 atom.py:497(size)
       42    0.000    0.000    0.016    0.000 strings.py:154(_na_map)
       14    0.000    0.000    0.001    0.000 vlarray.py:351(_calc_chunkshape)
       70    0.000    0.000    0.001    0.000 common.py:442(is_interval_dtype)
      140    0.000    0.000    0.001    0.000 strings.py:1310(<lambda>)
      168    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:843(__enter__)
      252    0.000    0.000    0.000    0.000 atom.py:526(<genexpr>)
       14    0.000    0.000    0.018    0.001 file.py:914(create_group)
      224    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       14    0.000    0.000    1.767    0.126 frame.py:6380(_convert_object_array)
       28    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       56    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
      112    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       70    0.000    0.000    0.000    0.000 leaf.py:193(maindim)
      196    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       56    0.000    0.000    0.001    0.000 common.py:409(is_period_dtype)
      280    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       14    0.000    0.000    0.000    0.000 leaf.py:52(calc_chunksize)
      196    0.000    0.000    0.000    0.000 internals.py:189(mgr_locs)
       42    0.000    0.000    0.000    0.000 file.py:540(<listcomp>)
       14    0.000    0.000    0.062    0.004 node.py:509(_g_remove)
       28    0.000    0.000    0.051    0.002 group.py:893(_f_close)
       42    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
       98    0.000    0.000    0.000    0.000 base.py:557(__len__)
       14    0.000    0.000    0.005    0.000 atom.py:560(copy)
       14    0.000    0.000    0.232    0.017 frame.py:6123(_arrays_to_mgr)
       28    0.000    0.000    0.000    0.000 {method 'fill' of 'numpy.ndarray' objects}
      126    0.000    0.000    0.000    0.000 node.py:288(__del__)
       28    0.000    0.000    0.000    0.000 {method 'take' of 'numpy.ndarray' objects}
      182    0.000    0.000    0.000    0.000 {built-in method pandas._libs.algos.ensure_object}
       84    0.000    0.000    0.000    0.000 internals.py:3130(_get_items)
       14    0.000    0.000    0.523    0.037 pytables.py:615(close)
       28    0.000    0.000    0.028    0.001 {built-in method builtins.__import__}
       56    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
       42    0.000    0.000    0.005    0.000 accessor.py:50(__get__)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(parent)
       42    0.000    0.000    0.001    0.000 file.py:557(<listcomp>)
       28    0.000    0.000    0.001    0.000 common.py:1545(is_bool_dtype)
       14    0.000    0.000    0.001    0.000 utils.py:121(convert_to_np_atom2)
       98    0.000    0.000    0.000    0.000 node.py:864(_g_check_name)
       14    0.000    0.000    0.000    0.000 file.py:560(shutdown)
